Mese,Anno ,Incidenti,Morti,Feriti,Incidenti mortali,Percentuale incidenti,Percentuale incidenti mortali,Percentuale morti,Percentuale feriti,Indice di mortalità generico,Indice di gravità,Indice di lesività,Indice specifico di mortalità ,Indice specifico di incidentalità
     Luglio,2004,23654,642,33291,568,"9,71","0,23","10,49","9,70","2,71","1,89","140,74","113,03","2,40",,
     Agosto,2004,1824,585,26718,520,"7,49","0,21","9,56","7,79","3,21","2,14","146,48","112,50","2,85",,
     Settembre,2004,20736,492,28511,460,"8,52","0,19","8,04","8,31","2,37","1,70","137,50","106,96","2,22",,
3° Trimestre,2004,6263,1719,8852,1548,"25,72","0,64","28,08","25,79","2,75","1,91","141,34","111,05","2,47",,
     Ottobre,2004,20773,483,28936,439,"8,53","0,18","7,89","8,43","2,33","1,64","139,30","110,02","2,11",,
     Novembre,2004,19941,556,27743,507,"8,19","0,21","9,08","8,08","2,79","1,97","139,13","109,67","2,54",,
     Dicembre,2004,19563,501,2782,452,"8,03","0,19","8,18","8,11","2,56","1,77","142,21","110,84","2,31",,
4° Trimestre,2004,60277,154,84499,1398,"24,76","0,57","25,16","24,62","2,56","1,79","140,18","110,16","2,32"
     Gennaio,2005,16768,465,23483,415,"6,99","0,17","7,99","7,01","2,77","1,94","140,05","112,05","2,48"
     Febbraio,2005,15961,377,22314,356,"6,65","0,15","6,48","6,66","2,36","1,66","139,80","105,90","2,23"
     Marzo,2005,18131,394,25373,355,"7,55","0,15","6,77","7,58","2,17","1,53","139,94","110,99","1,96"
1° Trimestre,2005,5086,1236,7117,1126,"21,19","0,47","21,24","21,25","2,43","1,71","139,93","109,77","2,21"
     Aprile,2005,19445,407,27027,372,"8,10","0,15","7,00","8,07","2,09","1,48","138,99","109,41","1,91"
     Maggio,2005,23734,542,32561,512,"9,89","0,21","9,32","9,72","2,28","1,64","137,19","105,86","2,16"
     Giugno,2005,23375,573,32194,517,"9,74","0,22","9,85","9,61","2,45","1,75","137,73","110,83","2,21"
2° Trimestre,2005,66554,1522,91782,1401,"27,73","0,58","26,16","27,41","2,29","1,63","137,91","108,64","2,11"
     Luglio,2005,23525,659,32883,581,"9,80","0,24","11,33","9,82","2,80","1,97","139,78","113,43","2,47"
     Agosto,2005,18568,575,26951,507,"7,74","0,21","9,88","8,05","3,10","2,09","145,15","113,41","2,73"
     Settembre,2005,20119,440,27588,406,"8,38","0,17","7,56","8,24","2,19","1,57","137,12","108,37","2,02"
3° Trimestre,2005,62212,1674,87422,1494,"25,92","0,62","28,77","26,11","2,69","1,88","140,52","112,05","2,40"
     Ottobre,2005,20597,473,28614,428,"8,58","0,18","8,13","8,55","2,30","1,63","138,92","110,51","2,08"
     Novembre,2005,20387,433,28192,390,"8,49","0,16","7,44","8,42","2,12","1,51","138,28","111,03","1,91"
     Dicembre,2005,19401,480,27678,432,"8,08","0,18","8,25","8,27","2,47","1,71","142,66","111,11","2,23"
4° Trimestre,2005,60385,1386,84484,125,"25,16","0,52","23,82","25,23","2,30","1,61","139,91","110,88","2,07"
     Gennaio,2006,17068,402,24236,362,"7,17","0,15","7,09","7,28","2,36","1,63","142,00","111,05","2,12"
     Febbraio,2006,15922,356,22338,317,"6,69","0,13","6,28","6,71","2,24","1,57","140,30","112,30","1,99"
     Marzo,2006,1812,380,25388,345,"7,61","0,14","6,70","7,63","2,10","1,48","140,11","110,15","1,90"
1° Trimestre,2006,5111,1138,71962,1024,"21,46","0,43","20,07","21,61","2,23","1,56","140,80","111,13","2,00"
     Aprile,2006,19427,483,27578,442,"8,16","0,19","8,52","8,28","2,49","1,72","141,96","109,28","2,28"
     Maggio,2006,22382,489,30553,458,"9,40","0,19","8,63","9,18","2,19","1,58","136,51","106,77","2,05"
     Giugno,2006,22711,539,31443,506,"9,54","0,21","9,51","9,44","2,37","1,69","138,45","106,52","2,23"
